state,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,pressure,temperature,altitude,magX,magY,magZ,w,i,j,k,posX,posY,posZ,velX,velY,velZ,gpsLat,gpsLong,gpsAltMSL,gpsAltAGL,gpsVelocityN,gpsVelocityE,gpsVelocityD,epochTime,satellites,gpsLock,loopcount,timestamp,cx,cy,targetGpsLat,targetGpsLong,desiredServoPos1,actualServoPos1,desiredServoPos2,actualServoPos2,desiredServoPos3,actualServoPos3,desiredServoPos4,actualServoPos4,trajA,trajB,trajC,trajD
0,-0.085449,0.035645,-0.998535,-0.061195,-0.430626,0.552719,23742.67578,22412.10938,35131.83594,871.025146,0,1257.516846,-34329.35156,18636.10156,-59640.17578,-0.120612,0.084112,-0.007489,0.989102,0,0,0,0,0,0,329394784,-1069118528,1395074,81,13,7,1369492,1718896757,12,1,437811,12098961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.084473,0.043457,-0.997559,-0.076454,-0.392479,0.781601,24310.30273,22601.31836,35211.17969,871.033936,0,1257.434937,-33693.44141,18851.67188,-59546.79688,-0.120782,0.084123,-0.007527,0.98908,0,0,0,0,0,0,329394784,-1069118528,1395086,2,-57,8,1369504,1718896757,12,1,437812,12098986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.070312,0.050781,-0.996582,0.076134,-0.323814,-0.179703,24145.50781,23291.01563,35046.38672,871.033936,0,1257.434937,-33881.25391,19638.44922,-59720.22656,-0.120742,0.084104,-0.007525,0.989086,0,0,0,0,0,0,329394784,-1069118528,1395086,2,-57,8,1369504,1718896757,12,1,437813,12099011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.062012,0.041016,-0.999023,0.182945,-0.38485,0.247543,23895.26367,23126.2207,34497.07031,871.029785,0,1257.474609,-34164.16797,19443.27734,-60330.67578,-0.120805,0.084086,-0.007497,0.98908,0,0,0,0,0,0,329394784,-1069118528,1395068,-98,-63,35,1369486,1718896757,12,1,437814,12099036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.053711,0.041992,-0.997559,0.060875,-0.461143,0.087326,24102.7832,23175.04883,35388.18359,871.008301,0,1257.675415,-33926.87109,19510.7207,-59344.49609,-0.120831,0.08408,-0.007492,0.989077,0,0,0,0,0,0,329394784,-1069118528,1395068,-98,-63,35,1369486,1718896757,12,1,437815,12099061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.063965,0.038086,-0.998047,0.030357,-0.674767,-0.835831,23413.08594,22546.38672,36126.71094,871.008301,0,1257.675415,-34693.63672,18804.41016,-58541.16406,-0.12066,0.084132,-0.007466,0.989094,0,0,0,0,0,0,329394784,-1069118528,1395081,-40,14,33,1369500,1718896757,12,1,437816,12099086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.081543,0.037109,-0.99707,-0.030678,-0.712914,-0.683243,23400.87891,22442.62695,35260.00781,871.029541,0,1257.477173,-34711.75781,18673.86719,-59500.05859,-0.12052,0.084209,-0.007452,0.989105,0,0,0,0,0,0,329394784,-1069118528,1395081,-40,14,33,1369500,1718896757,12,1,437817,12099111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.105957,0.035156,-0.996582,-0.053566,-0.49929,0.026291,24407.95898,21923.82813,35888.67188,871.029541,0,1257.477173,-33578.07422,18086.14258,-58807.21484,-0.120531,0.084262,-0.007456,0.989099,0,0,0,0,0,0,329394784,-1069118528,1395081,-40,14,33,1369500,1718896757,12,1,437818,12099136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.102539,0.029785,-0.99707,-0.00779,-0.38485,-0.378067,23614.50195,22229.00391,35186.76563,871.023193,0,1257.5354,-34472.08203,18427.93359,-59582.73438,-0.12046,0.084286,-0.007442,0.989106,0,0,0,0,0,0,329394784,-1069118528,1395135,13,-16,-3,1369553,1718896757,12,1,437819,12099161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.097168,0.029785,-0.996582,-0.168007,-0.239891,0.278061,23815.91797,22052.00195,35394.28906,871.057617,0,1257.213013,-34244.65625,18227.78125,-59354.82813,-0.120528,0.084276,-0.007478,0.989098,0,0,0,0,0,0,329394784,-1069118528,1395135,13,-16,-3,1369553,1718896757,12,1,437820,12099186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
